sbj; age; sex; block; phase; trialnr; sound; press order; accumulated RT; press duration; key name
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 3; 1177; 80; space
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 4; 1699; 108; space
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 5; 2264; 104; space
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 6; 2821; 100; space
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 7; 3437; 80; space
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 8; 4011; 112; space
2323; 22; ženski; tempo; eksperiment; 1; T1_tapping.wav; 9; 4690; 124; return
2323; 22; ženski; tempo; eksperiment; 2; T2_tapping.wav; 1; 0; 55; space
2323; 22; ženski; tempo; eksperiment; 2; T2_tapping.wav; 2; 535; 52; space
2323; 22; ženski; tempo; eksperiment; 2; T2_tapping.wav; 3; 1051; 56; space
2323; 22; ženski; tempo; eksperiment; 2; T2_tapping.wav; 4; 1552; 60; space
2323; 22; ženski; tempo; eksperiment; 2; T2_tapping.wav; 5; 2127; 52; space
2323; 22; ženski; tempo; eksperiment; 2; T2_tapping.wav; 6; 2630; 68; space
2323; 22; ženski; tempo; eksperiment; 2; T2_tapping.wav; 7; 3117; 92; return
2323; 22; ženski; tempo; eksperiment; 3; T3_tapping.wav; 1; 0; 95; space
2323; 22; ženski; tempo; eksperiment; 3; T3_tapping.wav; 2; 509; 120; space
2323; 22; ženski; tempo; eksperiment; 3; T3_tapping.wav; 3; 1028; 112; space
2323; 22; ženski; tempo; eksperiment; 3; T3_tapping.wav; 4; 1538; 156; space
2323; 22; ženski; tempo; eksperiment; 3; T3_tapping.wav; 5; 2055; 156; space
2323; 22; ženski; tempo; eksperiment; 3; T3_tapping.wav; 6; 2613; 120; space
2323; 22; ženski; tempo; eksperiment; 3; T3_tapping.wav; 7; 3158; 124; space
2323; 22; ženski; tempo; eksperiment; 3; T3_tapping.wav; 8; 4057; 96; return
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 1; 0; 87; space
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 2; 414; 84; space
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 3; 856; 96; space
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 4; 1301; 84; space
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 5; 1800; 72; space
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 6; 2258; 88; space
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 7; 2716; 72; space
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 8; 3183; 84; space
2323; 22; ženski; tempo; eksperiment; 4; T4_tapping.wav; 9; 3645; NA; return
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 1; 0; 75; space
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 2; 520; 116; space
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 3; 1027; 128; space
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 4; 1582; 100; space
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 5; 2111; 128; space
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 6; 2629; 132; space
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 7; 3164; 128; space
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 8; 3706; 116; space
2323; 22; ženski; tempo; eksperiment; 5; T5_tapping.wav; 9; 4694; 96; return
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 1; 0; 71; space
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 2; 480; 92; space
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 3; 1032; 80; space
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 4; 1591; 96; space
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 5; 2142; 92; space
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 6; 2668; 88; space
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 7; 3196; 80; space
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 8; 3693; 88; space
2323; 22; ženski; tempo; eksperiment; 6; T6_tapping.wav; 9; 5119; 136; return
