"sbj","age","sex","block","phase","trialnr","sound","exclude","AbsoluteAsynchrony","RelativeAsynchrony","AbsoluteCorrectness","RelativeCorrectness","Asynchrony"
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.104147465437788
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0624392614188533
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.072083879423329
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.139220779220779
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.374519230769231,0.334221748400853,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,2.99557692307692,0.852445527642378,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,2.73576923076923,0.622642697081854,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","ritem","vaje",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.07932692307692,1.08552317247969,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0872503840245776
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.065597667638484
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0456094364351245
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.088051948051948
