"sbj","age","sex","block","phase","trialnr","sound","exclude","AbsoluteAsynchrony","RelativeAsynchrony","AbsoluteCorrectness","RelativeCorrectness","Asynchrony"
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,0.826495726495726,1.11220983506414,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.416266025641026,0.205693340315133,0,1,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","eksperiment",2,"R_M1_tapping.wav",0,0.269586894586895,0.0919476349265158,1,1,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","ritem","eksperiment",3,"R_MS2_tapping.wav",0,0.258547008547009,0.0889919793365959,1,1,NA
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0795698924731183
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0473760932944606
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0453473132372215
"33cc76dfd8493a5f742590adb5e55009-3",14,"ženski","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0436363636363636
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,0.86875,0.769576911140995,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,1.41581196581197,1.43006271030896,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,1.48589743589744,0.503154574132492,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,2.01561771561772,2.05438848920863,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0494623655913978
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0753158406219631
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0935779816513762
"33cc76dfd8493a5f742590adb5e55009-2",9,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0620779220779221
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.02475961538462,0.270383132811588,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.413060897435897,0.405238095238095,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,0.42457264957265,0.475311017057843,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,1.20598290598291,1.00459039548023,0,0,NA
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0639016897081413
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0549076773566569
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0526867627785059
"33cc76dfd8493a5f742590adb5e55009-1",11,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0348051948051948
